id;slope;cd_water;aspect;hill90;hill5;hill45;clc00;numpoints;target
20959;3.03341;0.15046;3;254;20;178;324;0;0
20960;2.46102;0.176586;3;254;22;180;324;0;0
20961;2.40526;0.211652;2;254;28;184;324;0;0
20962;2.61351;0.258522;2;254;28;184;324;0;0
20963;2.43878;0.226906;3;254;23;181;324;0;0
20964;5.91255;0.173577;3;253;14;174;324;0;0
20965;7.9733;0.134344;3;252;0;172;324;0;0
20966;4.25455;0;3;254;0;175;324;0;0
20967;2.08233;0.0806511;5;254;13;174;221;1;1
20968;2.14619;0.0675706;5;254;12;173;221;0;0
20969;1.56097;0;5;254;0;175;221;0;0
20970;0.687546;0;5;254;0;178;221;0;0
20971;0.240225;0;5;254;21;179;221;0;0
20972;0.224441;0;4;254;21;179;221;0;0
20973;0.289304;0;3;254;21;180;221;0;0
20974;0.248004;0;4;254;21;179;221;0;0
20975;0.247613;0;5;254;21;179;221;0;0
20976;0.292012;0;5;254;20;179;221;0;0
20977;0.145343;0;6;254;21;180;221;0;0
20978;0.0531895;0;10;254;22;180;221;0;0
20979;0.199978;0;1;254;22;180;221;0;0
20980;0.410177;0.0632968;9;254;23;181;221;0;0
20981;0.486295;0.0633462;10;254;23;181;221;0;0
20982;0.679964;0.0633445;2;254;24;181;221;0;0
20983;1.8343;0.0670123;8;254;29;185;221;0;0
20984;3.17828;0.102648;8;254;32;187;312;0;0
20985;3.34424;0.182016;8;254;34;188;312;0;0
20986;2.53716;0.210656;9;254;33;188;312;0;0
20987;3.93664;0.200812;2;254;29;185;222;0;0
20988;5.06564;0.11227;2;254;34;188;221;0;0
20989;5.69476;0;2;253;33;187;221;0;0
20990;4.90893;0;2;254;35;189;313;0;0
20991;5.89146;0;9;253;48;197;313;0;0
20992;3.53513;0.080098;9;254;37;190;313;0;0
20993;3.10175;0;4;254;16;175;313;0;0
20994;5.78376;0.0989605;8;253;39;191;312;0;0
20995;7.15901;0.193776;8;253;47;196;312;0;0
20996;3.85499;0.190882;3;254;21;179;312;0;0
20997;4.30576;0.100877;3;254;28;184;311;0;0
20998;5.19351;0;2;253;32;187;313;0;0
20999;6.59082;0;2;253;36;189;313;0;0
21000;7.5943;0.129318;2;252;41;192;313;0;0
21001;7.67875;0.184585;2;252;40;191;313;0;0
21002;7.29047;0.217758;10;252;48;197;313;0;0
21003;6.25499;0.247972;10;253;45;195;313;0;0
21004;3.99831;0.219081;2;254;33;187;313;0;0
21005;2.5962;0.138349;2;254;28;184;313;0;0
21006;2.10817;0.0674898;3;254;22;180;221;0;0
21007;1.58199;0;4;254;17;177;313;0;0
21008;2.14806;0;4;254;15;175;313;0;0
21009;2.07822;0;3;254;24;181;311;0;0
21010;3.78434;0.0772862;2;254;33;188;311;0;0
21011;3.08754;0.158908;2;254;29;185;313;0;0
21012;1.9983;0.189661;8;254;30;185;313;0;0
21013;2.53882;0.193024;8;254;27;184;221;0;0
21014;0.238532;0.159344;8;254;22;180;221;0;0
21015;2.13496;0.135593;3;254;19;178;313;0;0
21016;3.64498;0.173952;3;254;17;176;313;0;0
21017;3.34694;0.197099;3;254;18;177;221;0;0
21018;5.64598;0.103311;4;253;7;169;313;0;0
21019;4.03101;0;4;254;8;170;221;0;0
21020;1.4931;0;6;254;19;178;221;1;1
21021;1.32549;0;7;254;20;179;221;0;0
21022;0.710219;0;4;254;19;178;221;0;0
21023;1.38519;0.0642111;4;254;17;176;243;0;0
21024;0.473317;0;4;254;20;179;221;0;0
21025;1.86507;0;8;254;26;183;313;0;0
21026;2.9117;0.0715627;7;254;26;182;221;0;0
21027;2.55335;0.145575;7;254;18;177;221;0;0
21028;4.12606;0.20669;7;254;23;180;313;0;0
21029;4.36855;0.281286;7;254;26;183;313;0;0
21030;1.57886;0.318681;6;254;18;177;312;0;0
21031;2.75057;0.320601;5;254;10;171;312;0;0
21032;1.93882;0.338513;5;254;13;174;312;0;0
21033;2.43525;0.367566;7;254;18;177;312;0;0
21034;4.10099;0.408927;7;254;25;182;221;0;0
21035;4.45789;0.494865;8;254;31;186;312;0;0
21036;1.40542;0.521461;8;254;25;182;312;0;0
21037;1.16178;0.537696;5;254;17;176;221;0;0
21038;1.27579;0.561573;6;254;19;178;221;0;0
21039;1.03834;0.569357;8;254;24;181;312;0;0
21040;0.322533;0.511843;7;254;22;180;221;0;0
21041;1.09647;0.450285;6;254;19;178;312;0;0
21042;1.2403;0.424089;5;254;16;176;312;0;0
21043;2.25343;0.364321;4;254;13;173;312;0;0
21044;1.46898;0.296572;5;254;15;175;312;0;0
21045;1.37581;0.262696;4;254;19;178;312;0;0
21046;5.06357;0.20771;3;254;16;175;313;0;0
21047;6.80778;0.106069;4;253;6;167;243;0;0
21048;1.96136;0;6;254;17;177;243;0;0
21049;11.6395;0.190063;8;249;47;194;313;1;1
21050;6.82003;0.414619;8;253;41;192;313;0;0
21051;1.90709;0.416988;3;254;19;178;313;0;0
21052;4.01762;0.465213;4;254;6;168;313;0;0
21053;5.49039;0.524951;5;253;0;162;313;0;0
21054;6.53801;0.509478;6;253;0;162;221;0;0
21055;6.51923;0.471962;6;253;1;164;221;1;1
21056;7.1678;0.453678;6;253;1;164;313;0;0
21057;8.22415;0.447071;6;252;0;157;313;0;0
21058;9.28174;0.435473;5;251;0;149;313;0;0
21059;6.51136;0.315309;5;253;0;158;313;1;1
21060;3.97469;0.248803;6;254;7;169;112;1;1
21061;4.14391;0.197465;5;254;4;167;221;2;1
21062;3.33134;0.111971;5;254;7;169;112;0;0
21063;2.07436;0.0666311;5;254;13;173;112;0;0
21064;1.19838;0;5;254;17;176;112;0;0
21065;0.975365;0.0638895;5;254;18;177;221;0;0
21066;1.38522;0.0912411;5;254;16;175;221;0;0
21067;1.15894;0.0902708;5;254;17;176;221;0;0
21068;1.08457;0.0637258;6;254;18;177;221;0;0
21069;0.917004;0.0639893;7;254;21;179;221;0;0
21070;0.745285;0.0644303;7;254;23;180;221;0;0
21071;0.155525;0.0910406;9;254;22;180;221;0;0
21072;0.881746;0.0899889;3;254;21;179;221;0;0
21073;1.80344;0.0653381;10;254;29;185;221;0;0
21074;3.44284;0.0727037;10;254;33;187;221;0;0
21075;4.50503;0.0801942;2;254;35;189;221;0;0
21076;5.77929;0.0919866;10;253;42;193;313;0;0
21077;6.1018;0;2;253;38;191;313;0;0
21078;5.07943;0;3;253;29;184;313;0;0
21079;3.63485;0;3;254;23;180;221;0;0
21080;1.41588;0;3;254;23;180;221;1;1
21081;0.491891;0;4;254;20;179;221;0;0
21082;0.797839;0;5;254;18;177;242;0;0
21083;2.0466;0;7;254;23;181;242;0;0
21084;5.6478;0;8;253;37;190;323;1;1
21085;6.27067;0.120189;8;253;43;194;323;0;0
21086;3.98956;0.101217;8;254;38;191;323;0;0
21087;5.46883;0;9;253;45;195;313;0;0
21088;4.87637;0.0900619;10;254;38;191;313;1;1
21089;8.32623;0.141546;2;252;44;194;313;0;0
21090;11.9686;0.225561;9;249;70;211;323;1;1
21091;12.6262;0.318599;10;248;61;204;332;0;0
21092;16.5003;0.509173;2;244;53;195;323;1;1
21093;16.7558;0.609954;3;244;47;190;323;2;1
21094;11.7581;0.382945;2;249;42;191;313;0;0
21095;8.31553;0.257856;3;252;32;185;332;0;0
21096;7.06854;0.10962;3;253;15;174;313;0;0
21097;2.02275;0;3;254;18;177;512;0;0
21098;0.389535;0.0636223;6;254;21;179;211;0;0
21099;0.671799;0.0634381;6;254;19;178;211;0;0
21100;0.497019;0.0634519;6;254;20;179;211;0;0
21101;0.193471;0.0641168;5;254;21;179;512;0;0
21102;0.140242;0.0641562;4;254;21;180;242;0;0
21103;0.185384;0.0633174;3;254;22;180;242;0;0
21104;0.281709;0;9;254;23;181;211;0;0
21105;0.338459;0;2;254;22;180;242;0;0
21106;0.310728;0;3;254;21;180;211;0;0
21107;0.0493391;0;3;254;22;180;211;0;0
21108;0.0278076;0;5;254;22;180;211;0;0
21109;0.142306;0;6;254;21;180;211;0;0
21110;0.303073;0;6;254;21;179;211;0;0
21111;0.303926;0;6;254;21;179;211;0;0
21112;0.213214;0;6;254;21;179;211;0;0
21113;0.345522;0;7;254;21;179;242;1;1
21114;0.725541;0.0633617;7;254;21;179;242;0;0
21115;1.31911;0.0642151;7;254;22;180;242;0;0
21116;1.36678;0.0909387;7;254;22;180;242;0;0
21117;0.898437;0.128782;7;254;21;179;121;0;0
21118;0.358835;0.127823;6;254;20;179;121;0;0
21119;0.79502;0.127962;4;254;19;178;312;0;0
21120;1.14691;0.0640094;4;254;19;178;221;0;0
21121;0.863058;0;4;254;19;178;221;0;0
21122;0.447707;0;5;254;20;178;221;0;0
21123;0.608523;0.0632995;6;254;20;179;242;0;0
21124;2.39317;0.0949941;8;254;26;183;242;0;0
21125;1.23175;0.132028;7;254;22;180;312;0;0
21126;1.94105;0.0657651;4;254;14;174;312;0;0
21127;0.828984;0;5;254;18;177;211;0;0
21128;0.843694;0.0634473;8;254;25;182;242;0;0
21129;1.67683;0.0917182;8;254;28;185;242;0;0
21130;1.53548;0.156332;9;254;28;184;242;0;0
21131;2.23428;0.206279;9;254;31;186;312;0;0
21132;0.428953;0.139718;2;254;23;181;242;0;0
21133;2.79027;0.0708464;4;254;12;172;112;0;0
21134;1.81906;0;5;254;14;174;242;0;0
21135;1.4988;0;7;254;22;180;112;0;0
21136;2.04887;0;7;254;23;180;323;0;0
21137;1.99811;0;7;254;22;180;112;0;0
21138;2.10756;0.0683271;7;254;22;180;112;0;0
21139;1.59009;0.065606;6;254;18;177;112;0;0
21140;1.70854;0;5;254;15;175;112;0;0
21141;1.98967;0;5;254;13;174;112;0;0
21142;1.86545;0;6;254;17;177;112;0;0
21143;1.61706;0;6;254;18;177;112;0;0
21144;1.46061;0;7;254;21;179;112;0;0
